Organization Name,Industries,Headquarters Location,Estimated Revenue,Operating Status,Founded Date,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly Visit Growth,Visit Duration Growth,Patents Granted,Visit Duration
Dave Inc Innovations,Science and Technology,"Nagaland, India",$10M to $50M,Active,2018,Series B,Technology,5,"Nikita Bhatt, Bhavani Sethi, Hemang Varkey, Yug Swamy, Anjali Tata",101-250,3,M&A,$10M to $50M,Medium,Low,1776158,165.17743714498772,7286.72734633615,1,486
"Bajaj, Gera and Wagle Pvt Ltd",MSME,"Arunachal Pradesh, India",$10B+,Active,2023,Series A,Small Business,3,"Hardik Ranganathan, Triya Sani, Maanav Lala",1-10,1,M&A,$10M to $50M,Medium,High,863174,-61.03241249203024,5249.35076881392,8,2013
"Viswanathan, Kant and Walia Solutions",Consumer Durables,"Punjab, India",Less than $1M,Closed,2018,—,Consumer Goods,0,—,11-50,3,Seed,$100K to $500K,Medium,Low,4206,-13.148886044710238,3683.157791182085,3,1200
Kumer-Barman Pvt Ltd,Power,"West Bengal, India",Less than $1M,Active,2023,Series B,Energy,1,Aadhya Bedi,1001-5000,3,Growing,$0,—,Medium,1450245,-97.30731449297873,4298.33177418892,9,460
"Chopra, Nagar and Devi Technologies",Science and Technology,"Jammu and Kashmir, India",$1B to $10B,Active,2022,IPO,Technology,2,"Vasana Lata, Onkar Shah",501-1000,6,Seed,$0,High,High,1876589,1446.821925395782,6010.585664099676,7,279
Singhal-Bose Solutions,Medical Devices,"Assam, India",Less than $1M,Active,2018,IPO,Healthcare,5,"Ekalinga Sampath, Wishi Bal, Ishanvi Pradhan, Henry Ram, Jeevika Shanker",101-250,5,—,$0,Growing,—,1050610,136.4521742792339,910.2479396392265,7,2269
Bahri-Dixit Solutions,Healthcare,"Uttarakhand, India",$10B+,Active,2020,Series A,Healthcare,5,"Jack Malhotra, Bishakha Raju, Reyansh Rai, Harrison Ganesan, Edhitha Devi",1-10,1,M&A,—,High,—,1218182,6.119718926503026,2922.9403391165747,6,1509
Singhal-Dutta Solutions,Tourism and Hospitality,"Kerala, India",$10M to $50M,Active,2023,Series A,Hospitality,3,"Wazir Sarma, Abhiram Arya, Neel Vora",1-10,7,Early Stage Venture,$5M to $10M,—,—,1387875,814.2878640066347,8138.87093738608,9,2416
Sanghvi LLC Solutions,Education and Training,"West Bengal, India",$10M to $50M,Active,2023,Seed,Education,2,"Joshua Prasad, Nathaniel Bawa",11-50,3,Growing,$500K to $1M,Growing,High,1802022,1293.0718101089628,4579.8244251380365,3,572
Patel LLC Innovations,Real Estate,"Mizoram, India",Less than $1M,Active,2018,Series B,Real Estate,5,"Chandran Bhardwaj, Fitan Lalla, Balvan Chauhan, Hamsini Nori, Balveer Mangat",101-250,7,Seed,$500K to $1M,—,High,1294599,115.30381184564837,2362.686333545262,1,1766
"Dugar, Ahluwalia and Vasa Labs",Paper & Packaging,"Rajasthan, India",$10M to $50M,Active,2021,—,Packaging,5,"Frederick Kala, Raagini Mander, Dalaja Sarkar, Dev Singh, Neelima Nazareth",501-1000,4,M&A,—,Medium,—,1361385,1835.880336673621,2040.6182388634747,3,2045
"Srinivas, Ghosh and Chaudhry Solutions",Healthcare,"West Bengal, India",$10M to $50M,Closed,2017,—,Healthcare,1,Fiyaz Yogi,51-100,3,Growing,$0,Growing,Low,7040,-76.93908403879082,2288.5277058904026,9,1184
Keer PLC Pvt Ltd,Ports,"Arunachal Pradesh, India",$1M to $10M,Active,2021,Series B,Transportation,2,"Raagini Oak, Bhavini Biswas",1001-5000,1,Seed,$1M to $5M,Growing,—,1918132,878.6607350654558,5815.736213506161,1,2285
"Pradhan, Kala and Toor Innovations",Metals and Mining,"Rajasthan, India",$10B+,Active,2017,Series C,Mining,0,—,251-500,7,Seed,$10M to $50M,—,High,1913343,624.2577594022217,4834.186384331479,3,1102
Bhardwaj LLC Technologies,Oil and Gas,"Punjab, India",$100M to $500M,Active,2020,—,Energy,0,—,501-1000,0,—,$0,Medium,—,599052,835.8623497004471,2289.45268869724,4,278
"Sarraf, Agrawal and Mishra Pvt Ltd",Steel,"Odisha, India",$10M to $50M,Active,2018,Series A,Manufacturing,3,"Nilima Basak, Ekavir Krishnamurthy, Hamsini Sarin",1-10,4,Early Stage Venture,$0,High,High,810415,212.9510562902974,8891.88669268184,10,2040
Chaudhari-Chaudry Technologies,Renewable Energy,"Karnataka, India",$1B to $10B,Active,2019,—,Energy,5,"Samesh Thakur, William Sastry, Aahana Dixit, Jhalak Nair, Frederick Murty",51-100,0,—,$10M to $50M,High,Medium,306451,428.75570401580103,3601.581485285485,7,2384
Keer-Wadhwa Solutions,Tourism and Hospitality,"Nagaland, India",Less than $1M,Closed,2018,Seed,Hospitality,0,—,1-10,3,—,—,—,Low,1312,-98.73787377215977,7719.971163564653,7,2037
"Deshmukh, Walla and Mangat Labs",Education and Training,"West Bengal, India",$1M to $10M,Closed,2018,IPO,Education,2,"Finn Dhar, Karan Dani",1-10,1,—,$100K to $500K,—,Low,4066,-11.656771411753098,7527.00598578064,8,2224
Hegde-Sura Innovations,Steel,"Manipur, India",$10M to $50M,Active,2023,Seed,Manufacturing,2,"Siddharth Munshi, Janani Loke",11-50,4,Seed,—,—,Low,1875095,1839.7504901056193,1963.2174446956142,6,1862
"Gara, Agarwal and Swaminathan Innovations",Ports,"West Bengal, India",Less than $1M,Closed,2019,—,Transportation,4,"Yochana Murthy, Ekapad Behl, Unni Murthy, Madhavi Om",1-10,2,—,—,—,Low,7709,-90.73742586871946,3233.8923882855893,2,1766
Pal-Ghose Solutions,Electric Vehicle,"Jharkhand, India",$1M to $10M,Closed,2019,Series C,Automotive,1,Zarna Sha,11-50,1,Early Stage Venture,$0,Medium,Low,12209,41.681550054222186,5094.816878005295,2,1473
Narain LLC Solutions,Chemicals,"Manipur, India",$1M to $10M,Active,2018,Seed,Chemicals,2,"Indali Bera, Bhavani Memon",1-10,4,M&A,$1M to $5M,High,Medium,844925,1265.9730852024607,5654.797898249295,7,1962
"Chauhan, Bobal and Jayaraman Solutions",Manufacturing,"Rajasthan, India",$50M to $100M,Active,2021,Series A,Manufacturing,2,"Chakradev Keer, Ekavir Gaba",51-100,6,Growing,$100M to $500M,—,High,1046365,240.7509778903763,9107.115599212057,6,440
"Deep, Agrawal and Contractor Technologies",Steel,"Haryana, India",$100M to $500M,Active,2018,Series B,Manufacturing,4,"Anamika Kala, Michael Chand, Yug Halder, Vedant Shenoy",251-500,4,Growing,$5M to $10M,High,Low,683875,1427.3623564457387,5324.651407787665,1,586
Subramanian Group Innovations,Chemicals,"Madhya Pradesh, India",$100M to $500M,Active,2018,Series A,Chemicals,1,Gopal D’Alia,1-10,5,—,$5M to $10M,Growing,—,1043961,802.3411155645869,934.9704485844975,4,1519
Pant-Chand Solutions,Textiles,"Maharashtra, India",$1M to $10M,Active,2020,—,Textiles,5,"Tanmayi Chad, Yatan Choudhary, Libni Sathe, Brinda Mukherjee, Nitesh Chana",1-10,0,—,$500K to $1M,—,—,171294,586.5352942327037,3890.472675951663,8,126
Deshmukh-Singhal Pvt Ltd,Railways,"Bihar, India",$1M to $10M,Active,2024,Series A,Transportation,0,—,501-1000,6,Growing,—,—,Low,536976,1378.184046205471,-4.003680172671011,0,1731
Nanda-Cheema Pvt Ltd,MSME,"Tripura, India",Less than $1M,Closed,2024,—,Small Business,1,Hemang Mukherjee,11-50,2,Growing,—,High,Low,5773,-24.885625533791185,8816.29791898613,5,1922
"Jani, Ahluwalia and Khanna Technologies",Paper & Packaging,"Himachal Pradesh, India",$1M to $10M,Active,2020,Series A,Packaging,4,"Balendra Lala, Neel Pandit, Samesh Gade, Hemang Hayre",1001-5000,5,—,$10M to $50M,Growing,Low,829455,1347.7655024317871,7850.98265618978,7,2094
"Rout, Chandra and Anand Labs",Manufacturing,"Tripura, India",$50M to $100M,Active,2019,IPO,Manufacturing,3,"Agastya Nagi, Nicholas Venkataraman, Pahal Patel",51-100,5,Growing,$0,Growing,Medium,1568560,900.7311432392944,7611.726804938071,10,2206
Palla and Sons Innovations,Real Estate,"Arunachal Pradesh, India",$10B+,Active,2018,IPO,Real Estate,3,"Tanmayi Pandit, Zaitra Dube, Daksha Gala",501-1000,5,Seed,—,Medium,Medium,440718,1198.6849568526202,7569.7618321056,1,34
Yadav-Sahota Pvt Ltd,Pharmaceuticals,"Bihar, India",$1B to $10B,Active,2018,Seed,Pharmaceuticals,2,"Yadavi Lad, Nihal Sagar",251-500,1,Seed,$5M to $10M,Growing,High,847001,612.9625663396529,2202.89465049376,5,1670
Puri and Sons Technologies,Textiles,"Punjab, India",$1M to $10M,Closed,2019,Series C,Textiles,4,"Bakhshi Ghose, Shravya Dey, Vinaya Lalla, Barkha Dixit",1-10,3,Early Stage Venture,—,—,Low,657,-7.914802153310717,9071.940092968973,1,193
"Khalsa, Konda and Borah Pvt Ltd",Engineering and Capital Goods,"Haryana, India",$10B+,Active,2023,—,Engineering,3,"Dev Bath, Meera Sridhar, Samesh Sagar",1-10,0,—,$100M to $500M,High,Medium,1266140,1128.85294727113,5820.5038478466395,10,2299
"Wali, Dave and Muni Technologies",E-Commerce,"Odisha, India",$1M to $10M,Closed,2018,Series B,Commerce,0,—,11-50,3,Early Stage Venture,$0,Growing,Low,3093,-74.2743471993429,132.64716158468363,9,1316
"Subramanian, Lala and Deep Innovations",Roads,"Maharashtra, India",$1M to $10M,Active,2021,Series C,Infrastructure,5,"Anirudh Lall, Alka Sarna, Pooja Sood, Ekalinga Mody, Amaira Anne",1-10,7,Early Stage Venture,$5M to $10M,Medium,—,373253,291.38773948660605,6877.546109450591,4,1153
Mohanty-Doshi Solutions,Food Processing,"Punjab, India",$10B+,Active,2017,—,Food and Beverage,1,Jagrati Hayre,1001-5000,0,—,—,High,—,1423666,1.5031300052168888,2410.975489975702,0,1634
"Tiwari, Deshmukh and Parekh Innovations",Electric Vehicle,"Uttarakhand, India",$10M to $50M,Active,2017,Seed,Automotive,4,"Kashish Rajagopalan, Dipta Wali, Hredhaan Dugar, Bhavna Nadkarni",11-50,6,M&A,$1M to $5M,High,Low,1452957,1860.9997202248746,8571.753550288642,2,1147
Johal Ltd Technologies,Defence Manufacturing,"Mizoram, India",Less than $1M,Closed,2019,Series C,Defence,1,Qasim Kota,11-50,3,Early Stage Venture,$100K to $500K,High,Low,8394,-91.30645782950073,623.5979662017659,1,2406
"Wadhwa, Chana and Kanda Labs",Tourism and Hospitality,"Rajasthan, India",Less than $1M,Active,2020,Series C,Hospitality,5,"Nidhi Pall, Gavin Grover, Isaiah Chaudhary, Gautami Tata, Chandran Sundaram",51-100,2,—,$500K to $1M,—,—,661640,1401.027362804608,5135.414457998884,10,1986
Barad-Chacko Solutions,Oil and Gas,"Haryana, India",Less than $1M,Active,2020,IPO,Energy,4,"Wahab Kaur, Pooja Pathak, Isaiah Varughese, Abhimanyu Manne",51-100,4,—,$10M to $50M,—,Medium,1465295,1778.9724664900195,4443.387931176892,0,2384
Oak Group Solutions,Tourism and Hospitality,"Kerala, India",$10M to $50M,Closed,2022,Series B,Hospitality,4,"Noah Agarwal, Umang Swaminathan, Samar Yadav, Sarthak Swamy",1-10,3,Seed,$0,Growing,Medium,29912,-79.41035440409013,7953.517209953574,0,569
"Mannan, Palla and Rajagopal Innovations",Pharmaceuticals,"Tamil Nadu, India",$50M to $100M,Active,2018,IPO,Pharmaceuticals,2,"Netra Varty, Advay Sodhi",1001-5000,7,Early Stage Venture,$0,High,Medium,1113012,1083.1547373677688,655.4459409015344,10,2446
"Sachdeva, Chacko and More Innovations",Retail,"Himachal Pradesh, India",Less than $1M,Closed,2023,IPO,Commerce,1,Vasatika Nanda,11-50,2,Seed,—,High,Low,184,-60.84373480215459,1304.132625844982,2,1910
Yogi-Gole Innovations,Science and Technology,"Bihar, India",$10M to $50M,Active,2019,Series B,Technology,5,"Triveni Dutt, Wriddhish Sani, Qadim Dutt, Praneel Peri, Gaurav Setty",51-100,2,—,$1M to $5M,Growing,High,93342,497.8993110912045,7094.500468807282,8,1643
"Kata, Kaur and Tailor Labs",Insurance,"Meghalaya, India",$1B to $10B,Active,2023,—,Financial Services,5,"Daniel Naidu, Yug Basak, Pratyush Lanka, Ijaya Murthy, Karan Rajan",1001-5000,7,Seed,$500K to $1M,High,Medium,1753833,582.7235932781417,7418.120980377377,4,702
Virk-Roy Solutions,Science and Technology,"Assam, India",$10M to $50M,Active,2020,Series A,Technology,3,"Nidra Sarna, Harish Kala, Damyanti Gala",251-500,5,—,$100M to $500M,Medium,High,863943,21.73482463942959,2212.9012390294447,5,2160
"Thakur, Sura and Desai Pvt Ltd",Medical Devices,"Tripura, India",Less than $1M,Closed,2023,—,Healthcare,0,—,1-10,0,—,—,High,Low,8769,-62.631306226093976,5413.161014059476,8,569
"Sahota, Deep and Deo Technologies",Defence Manufacturing,"Maharashtra, India",Less than $1M,Active,2020,Seed,Defence,4,"Ekalinga Edwin, Charan Zacharia, Gaurang Sodhi, Aachal Zacharia",251-500,1,—,$0,—,—,108244,1023.6378910462554,167.48551367964126,10,170
"Cheema, Wagle and Pall Pvt Ltd",Ports,"Arunachal Pradesh, India",$1M to $10M,Closed,2017,—,Transportation,4,"Pushti Puri, Samesh Walla, Finn Merchant, Nirja Bhandari",1-10,2,M&A,—,—,Low,757,-5.425822395587431,6776.340809511658,8,588
Nadig Inc Innovations,Medical Devices,"Karnataka, India",$1M to $10M,Active,2024,—,Healthcare,1,Charvi Dutta,1-10,6,Growing,$50M to $100M,High,High,1967826,1308.7067593546217,3841.343641302434,5,514
"Nigam, Parmer and Nath Solutions",Education and Training,"Karnataka, India",$10M to $50M,Closed,2019,—,Education,2,"Darsh Talwar, Leela Bumb",11-50,0,—,$100K to $500K,High,Medium,47693,-1.0940084863486135,5304.962737950118,6,754
Mangal-Barad Innovations,Textiles,"Telangana, India",$100M to $500M,Active,2022,—,Textiles,1,Megha Chakraborty,251-500,4,M&A,$50M to $100M,—,High,1546096,1519.7012133376486,7622.440682095299,3,946
"Sood, Pall and Kala Pvt Ltd",Oil and Gas,"West Bengal, India",$100M to $500M,Active,2023,Series C,Energy,0,—,501-1000,1,—,$5M to $10M,—,Low,132464,1597.9085800659498,5859.893881767893,6,14
Vyas LLC Labs,Steel,"Meghalaya, India",$1B to $10B,Active,2018,—,Manufacturing,2,"Jagrati Divan, Tripti Sinha",1-10,2,Growing,$1M to $5M,Growing,High,430527,749.2411122730125,4438.999608322687,3,958
Sekhon LLC Pvt Ltd,Financial Services,"Chhattisgarh, India",$50M to $100M,Active,2017,Seed,Financial Services,1,Ojas Sagar,101-250,3,M&A,$0,Medium,Medium,1696734,1301.4976399805473,1009.9306473714032,7,1443
Bala and Sons Innovations,Aviation,"Jammu and Kashmir, India",Less than $1M,Closed,2024,Series C,Transportation,5,"Mohammed Boase, Mahika De, Chaman Vala, Sai Cheema, Falguni Kaur",11-50,3,Early Stage Venture,$100K to $500K,Medium,Low,2455,-98.51415741632516,5858.289619794589,3,2415
Bath Inc Solutions,FMCG,"Andhra Pradesh, India",$100M to $500M,Active,2019,Series A,Consumer Goods,3,"Tarak Sehgal, Shivansh Thakur, Neha Manda",11-50,2,Seed,$10M to $50M,Growing,Low,1545466,1682.6913818572946,3752.7977074387763,10,1453
"Jhaveri, Patil and Nagy Labs",Agriculture and Allied Industries,"Jharkhand, India",$100M to $500M,Active,2023,Seed,Agriculture,4,"Veda Parmar, Saumya Deshpande, Deepa Gulati, Jacob Chakrabarti",1-10,5,Seed,—,Growing,Low,935141,1602.9319376122087,4412.83621850108,0,512
Murty Group Pvt Ltd,Media and Entertainment,"Manipur, India",$10M to $50M,Active,2020,—,Media,0,—,1-10,2,—,—,High,High,1882112,1397.1833375101544,4076.5425698637373,2,161
Oak-Shenoy Technologies,Electronics System Design & Manufacturing,"Tripura, India",$1M to $10M,Active,2021,Series C,Electronics,0,—,1001-5000,4,M&A,$10M to $50M,Medium,—,400133,1173.715441741949,9242.86370435224,6,362
"Bora, Ramaswamy and Gaba Solutions",Renewable Energy,"Rajasthan, India",Less than $1M,Active,2020,—,Energy,1,Dominic Ramesh,1001-5000,6,Growing,$5M to $10M,Medium,Medium,1883042,1105.8836360551218,5309.937964422086,10,1977
Rastogi-Kale Pvt Ltd,Aviation,"Telangana, India",$1B to $10B,Active,2018,Series C,Transportation,5,"Chakradhar Pandey, Sneha Khurana, Saumya Tiwari, Harrison Karnik, Vrinda Nath",1001-5000,4,—,$100K to $500K,Medium,Medium,870700,1707.0619987063783,348.00336339411007,0,242
Wadhwa Inc Solutions,Roads,"Andhra Pradesh, India",$1B to $10B,Active,2020,Series A,Infrastructure,1,Avi Garg,101-250,7,Early Stage Venture,$10M to $50M,—,Low,305013,1055.240717544707,7190.030622422682,6,15
"Kothari, Saraf and Bansal Technologies",Roads,"Maharashtra, India",$1M to $10M,Closed,2020,IPO,Infrastructure,1,Nilima Jha,1-10,2,Early Stage Venture,$0,Growing,Low,4154,-79.25368575592906,5967.192768724703,0,241
"Sahota, Patla and Jayaraman Technologies",Insurance,"Bihar, India",$1B to $10B,Active,2017,Series A,Financial Services,3,"Krishna Shetty, Aarush Mannan, Tamanna Bhattacharyya",1-10,1,Early Stage Venture,$500K to $1M,Growing,Medium,919762,429.69912175519073,2306.7078702607905,5,874
"Ganesan, Deshmukh and Vyas Pvt Ltd",Auto Components,"Uttarakhand, India",Less than $1M,Closed,2019,Series A,Automotive,0,—,11-50,3,Early Stage Venture,$100K to $500K,Medium,Low,568,-39.52083976107813,6473.084985844767,10,2151
"Prashad, Kumer and Ram Labs",Pharmaceuticals,"Madhya Pradesh, India",Less than $1M,Closed,2017,Series B,Pharmaceuticals,1,Jeremiah Wagle,11-50,3,M&A,—,High,Low,8785,-94.97409144281642,9447.585776255297,9,2125
"Toor, Oommen and Choudhary Solutions",Engineering and Capital Goods,"Bihar, India",$10B+,Active,2018,Series B,Engineering,0,—,51-100,6,Seed,$100K to $500K,—,Low,1213915,330.71663675740115,9979.709628989385,5,298
Sawhney-Sodhi Pvt Ltd,Electric Vehicle,"Rajasthan, India",$10B+,Active,2024,Series C,Automotive,0,—,51-100,2,M&A,$1M to $5M,Growing,High,830205,147.00789059603363,5204.45793607996,8,1246
Mann-Prakash Innovations,Healthcare,"Mizoram, India",Less than $1M,Closed,2021,Series A,Healthcare,4,"Irya Devan, Vivaan Rai, Yauvani Srinivasan, Leela Bobal",11-50,1,Seed,$0,High,Low,6957,-68.60167019929145,6495.44271553638,0,1862
"Varma, Varughese and Desai Technologies",MSME,"Uttar Pradesh, India",$1M to $10M,Active,2020,—,Small Business,4,"Rachit Luthra, Bahadurjit Kala, Viraj Oommen, Aryan Dugal",1001-5000,5,M&A,$100K to $500K,Medium,Low,1245367,1944.6752474316133,2747.4896975492115,8,1233
"Desai, Madan and Toor Technologies",Railways,"Punjab, India",Less than $1M,Active,2019,Series A,Transportation,1,Mohini Sama,1001-5000,2,M&A,$50M to $100M,—,Medium,1354877,682.3475980113042,1602.3004790028303,5,1234
"Talwar, Grewal and Varkey Pvt Ltd",Defence Manufacturing,"Goa, India",$100M to $500M,Active,2024,Series C,Defence,0,—,251-500,4,Early Stage Venture,—,Medium,High,81410,862.7443461479013,8298.936031926678,8,296
Pillai-Dora Solutions,Railways,"Andhra Pradesh, India",$1M to $10M,Closed,2017,Seed,Transportation,2,"Aarini Keer, Abhimanyu Dar",1-10,1,Seed,$100K to $500K,High,Low,2954,-87.00495442629067,3435.8432000218345,4,650
Andra LLC Technologies,Auto Components,"Kerala, India",$1M to $10M,Closed,2023,Seed,Automotive,3,"Ikshita Sahota, Yashica Gulati, Yash Gola",11-50,2,—,$100K to $500K,Growing,Low,4913,-8.606182223725554,722.2455381480817,4,1881
Prabhakar and Sons Technologies,Tourism and Hospitality,"Punjab, India",$100M to $500M,Active,2024,—,Hospitality,1,Dhruv Lall,501-1000,0,—,$0,High,—,1043645,1151.789078539148,2707.0646045324406,1,223
Shah-Karnik Technologies,Agriculture and Allied Industries,"Karnataka, India",$1B to $10B,Active,2019,—,Agriculture,3,"Chanakya Dugal, Oni Sarkar, Varenya Brahmbhatt",11-50,0,—,$0,High,Medium,1541833,1236.6749258916009,7387.968561332064,10,2043
Bora Inc Pvt Ltd,Science and Technology,"Jharkhand, India",$1M to $10M,Active,2021,—,Technology,0,—,51-100,0,—,$0,—,Low,414517,306.0349044207175,9893.109590044991,10,659
Murty Ltd Solutions,Food Processing,"Chhattisgarh, India",$50M to $100M,Active,2017,Seed,Food and Beverage,3,"Pratyush Sangha, Niharika Dugar, Naveen Nagy",501-1000,7,Growing,$100K to $500K,High,High,1126113,966.9412531987675,3883.4367642439643,9,914
"Jhaveri, Chhabra and Manne Pvt Ltd",FMCG,"Himachal Pradesh, India",Less than $1M,Closed,2019,—,Consumer Goods,0,—,1-10,0,—,—,Growing,Low,3194,-63.095713040811404,8211.46606056244,0,1753
Dasgupta and Sons Technologies,Banking,"Jharkhand, India",Less than $1M,Closed,2024,Seed,Financial Services,0,—,1-10,2,M&A,$0,Medium,Low,6722,-63.64537029526763,253.24357435593038,8,1445
Rau-Patel Solutions,FMCG,"Odisha, India",Less than $1M,Closed,2023,—,Consumer Goods,2,"Chaitanya Raghavan, Hiral Devan",1-10,0,—,$100K to $500K,Growing,Low,20911,-56.03686674496595,5024.799659582491,6,1466
"Pant, Bawa and Roy Solutions",Financial Services,"Telangana, India",$1M to $10M,Active,2019,IPO,Financial Services,0,—,51-100,3,M&A,$100K to $500K,Medium,High,445852,807.750573060115,8985.422736309292,10,1336
"Kara, Mohanty and Chada Pvt Ltd",Insurance,"Uttarakhand, India",$1B to $10B,Active,2024,IPO,Financial Services,0,—,1001-5000,7,M&A,$0,—,Low,58263,1308.5893604795556,7084.073194165784,0,875
Nadig Ltd Pvt Ltd,Auto Components,"West Bengal, India",Less than $1M,Active,2017,IPO,Automotive,2,"Zarna Jayaraman, Abhiram Lanka",11-50,3,Early Stage Venture,—,Growing,High,1882775,1943.3034316443125,8903.666092284311,3,2297
Pillai Ltd Innovations,Renewable Energy,"Maharashtra, India",Less than $1M,Active,2023,—,Energy,3,"Vedant Sidhu, Amaira Varughese, Kashvi Dugar",501-1000,4,Seed,$100K to $500K,Growing,Medium,983396,502.0656690385599,8425.677830750948,4,1771
Mallick-Dutta Solutions,Tourism and Hospitality,"Andhra Pradesh, India",$1M to $10M,Active,2022,Seed,Hospitality,5,"Chatura Loyal, Aarini More, Naksh Nadkarni, Brijesh Gala, Saksham Krishna",51-100,3,Seed,$500K to $1M,High,Medium,936053,684.0951929894438,5173.040732322028,0,1119
Halder-Wadhwa Innovations,Ports,"Rajasthan, India",Less than $1M,Active,2019,Series C,Transportation,2,"Ikbal Khurana, Lajita Iyengar",11-50,2,—,$500K to $1M,Medium,—,1169886,1236.8513581911054,8025.994048907744,4,1276
"Sehgal, Kurian and Sachdev Solutions",Science and Technology,"Karnataka, India",Less than $1M,Active,2019,Series A,Technology,5,"Rajata Kothari, Omkaar Rai, Michael Manne, Qabil Zachariah, Aashi Sampath",1-10,3,—,$5M to $10M,Growing,High,413554,1343.9795988354997,5837.494345362438,1,583
Sethi-Dhillon Pvt Ltd,Cement,"Assam, India",$50M to $100M,Active,2019,Series C,Construction,3,"Yatin Yohannan, Libni Ray, Lajita Soni",51-100,6,Seed,$100K to $500K,Medium,Low,1530323,1216.615469722542,2341.9829832473365,9,1958
Jha and Sons Solutions,Ports,"Sikkim, India",Less than $1M,Closed,2018,—,Transportation,3,"Ekiya Bhargava, Anmol Peri, Max Lad",51-100,1,Early Stage Venture,—,High,Medium,48022,-99.2362186705025,442.36076802925277,5,599
Pandit LLC Labs,Pharmaceuticals,"Jammu and Kashmir, India",$50M to $100M,Active,2019,IPO,Pharmaceuticals,2,"Leela Brahmbhatt, Eesha Chaudhary",501-1000,1,Seed,$0,Growing,Medium,1078871,1029.9028931610244,5197.830207649568,1,2461
Sahota-Chakraborty Solutions,Media and Entertainment,"Himachal Pradesh, India",$1M to $10M,Closed,2019,—,Media,2,"Zayyan Naidu, Vidhi Contractor",11-50,2,—,$0,Medium,Low,2063,-45.97926348304734,765.6072959390935,6,1872
Chokshi-Ganguly Labs,Consumer Durables,"Chhattisgarh, India",$1B to $10B,Active,2021,Series C,Consumer Goods,1,Nachiket Pant,1001-5000,2,Growing,$1M to $5M,Medium,Low,1299893,1056.1786179115024,3785.8966402948668,10,1040
Lal PLC Labs,Power,"Gujarat, India",$50M to $100M,Active,2023,Series B,Energy,0,—,101-250,5,—,$100K to $500K,Growing,High,574087,153.11270519344203,3834.23430123636,9,2129
"Kara, Koshy and Sundaram Innovations",Real Estate,"Madhya Pradesh, India",$1M to $10M,Closed,2018,—,Real Estate,2,"Yuvraj Kibe, Logan Natt",1-10,0,—,$100K to $500K,Growing,Low,365,-94.78651635574997,3603.4499850322427,9,292
Oommen Group Pvt Ltd,Education and Training,"Maharashtra, India",$1M to $10M,Closed,2022,Series B,Education,5,"Reva Chopra, Orinder Ganguly, Waida Dua, Ikshita Kala, Yashoda Luthra",1-10,2,—,$100K to $500K,Growing,—,33429,-52.36789827927439,3317.7107461847554,8,1426
Dar Group Pvt Ltd,Banking,"Manipur, India",Less than $1M,Active,2019,Series B,Financial Services,4,"Tanay Shere, Veer Kulkarni, Rajata Devan, Neelima Patel",1-10,2,M&A,$100M to $500M,—,—,751615,1716.3664681952537,7107.323121319706,5,519
Nadkarni-Issac Labs,Automobiles,"Goa, India",$10B+,Active,2024,Series C,Automotive,4,"Edhitha Behl, Kevin Dhaliwal, Sneha Buch, Kabir Misra",11-50,4,—,—,—,High,1768307,891.1948791621529,7486.813721891149,9,2487
"Dani, Hayre and Gill Labs",Pharmaceuticals,"Arunachal Pradesh, India",Less than $1M,Closed,2021,IPO,Pharmaceuticals,0,—,11-50,1,Seed,$0,High,Low,6863,-77.78248243725504,4073.8188499461376,9,1125
Sagar-Sagar Technologies,Paper & Packaging,"West Bengal, India",$100M to $500M,Active,2022,—,Packaging,3,"Nandini Walia, Ekantika Borah, Devika Bobal",1001-5000,0,—,$1M to $5M,Medium,High,414165,46.45336817274634,5144.801190527868,4,1972
Lalla Ltd Labs,Banking,"Andhra Pradesh, India",Less than $1M,Closed,2021,Seed,Financial Services,3,"Shivani Dugal, Jairaj Choudhury, Ethan Prabhu",1-10,1,M&A,—,Growing,Low,992,-63.98434782207383,1447.2088228015446,7,1547
Ramanathan Group Pvt Ltd,Automobiles,"Punjab, India",Less than $1M,Active,2020,IPO,Automotive,2,"Vincent Tiwari, Charan Palan",51-100,3,—,$1M to $5M,Growing,—,1785348,1899.933917432979,2357.642284419902,10,126
"Bahl, Sachdeva and Natarajan Solutions",Telecommunications,"Uttarakhand, India",$10M to $50M,Closed,2018,IPO,Telecommunications,1,Siya Toor,11-50,2,M&A,—,High,Medium,16910,-83.28567426021482,7600.487458271983,6,2280
"Padmanabhan, Keer and Wason Solutions",Financial Services,"West Bengal, India",$100M to $500M,Active,2017,—,Financial Services,2,"Warhi Mittal, Jatin Rout",11-50,6,Growing,$100K to $500K,Medium,High,584149,1979.6068176938807,2799.491787659988,9,309
Ganesan Inc Innovations,Automobiles,"Chhattisgarh, India",$10M to $50M,Active,2023,IPO,Automotive,1,Baghyawati Sanghvi,1001-5000,4,—,$1M to $5M,Medium,Low,456671,631.3290552687199,3969.751931784492,5,2019
Dhar-Mand Solutions,MSME,"Kerala, India",$1M to $10M,Active,2021,Seed,Small Business,4,"Advaith Atwal, Waida Raman, Xavier Bansal, Alexander Datta",251-500,5,Seed,$500K to $1M,—,—,844840,1708.6646111448274,4180.56328374182,4,704
